time,X-mean,X-sd
0,0,0
1,1.5,2.121320344
2,1.5,2.121320344
3,1.5,2.121320344
4,1.5,2.121320344
5,1.5,2.121320344
6,1.5,2.121320344
7,1.5,2.121320344
8,1.5,2.121320344
9,1.5,2.121320344
10,1.5,2.121320344
11,1.5,2.121320344
12,1.5,2.121320344
13,1.5,2.121320344
14,1.5,2.121320344
15,1.5,2.121320344
16,1.5,2.121320344
17,1.5,2.121320344
18,1.5,2.121320344
19,1.5,2.121320344
20,1.5,2.121320344
21,1.5,2.121320344
22,1.5,2.121320344
23,1.5,2.121320344
24,1.5,2.121320344
25,1.5,2.121320344
26,1.5,2.121320344
27,1.5,2.121320344
28,1.5,2.121320344
29,1.5,2.121320344
30,1.5,2.121320344
31,1.5,2.121320344
32,1.5,2.121320344
33,1.5,2.121320344
34,1.5,2.121320344
35,1.5,2.121320344
36,1.5,2.121320344
37,1.5,2.121320344
38,1.5,2.121320344
39,1.5,2.121320344
40,1.5,2.121320344
41,1.5,2.121320344
42,1.5,2.121320344
43,1.5,2.121320344
44,1.5,2.121320344
45,1.5,2.121320344
46,1.5,2.121320344
47,1.5,2.121320344
48,1.5,2.121320344
49,1.5,2.121320344
50,1.5,2.121320344
